"Year","Available.Seat-Kilometre.(ASK).[mil]","Revenue.Passenger.Kilometre.(RPK).[mil]","Passengers.Carried.[mil]","Aircraft.Movement","Cargo.Movement.[tonne]","Passenger.Load.Factor.[%]","Revenue.per.ASK.(RASK).[sen]","Cost.per.ASK.(CASK).[sen]","Aggregate.Domestic.Fares.[RM]","Aggregate.International.Fares.[RM]"
2010,87558.9,66718.7,31.09,628337,922710.10695,76.198650279983,16.8162629022318,21.1030685637428,294,984
2011,96719.7,74911,33.82,675047,909663.28663315,77.4516463553961,17.2914635477385,24.5161076564358,357,987
2012,94364.39,73501.57,35.65,678051,898571.7903,77.8912151077329,17.8774789485385,20.5017984361101,348,900
2013,139483.351148,89339.08678064,42.99,775853.9,916919.71665,64.0500002655127,16.5870736170063,18.7075918609764,313,819
2014,158821.3,97190.3,28.59,834538,1007373.7894,61.1947515855871,15.3344368829071,17.1949743966713,316,739
2015,116770.033872204,87210.2158142303,38.7,857438,1001276,74.6854419085596,16.671803083348,19.6429549755561,311,674
2016,123218.559958674,97274.7577536857,52.43,868677,908759,78.9448909209055,15.3225574959932,16.841716777184,264,652
2017,135590.436340987,110203.320813973,58.64,907436,997172,81.2766178706223,16.4939846046843,17.3669902010069,218.7648,492.4336589
2018,141102,112515.64,59.95,925926,1010004.123,79.740641521736,16.3062740361334,17.757366355622,223,467
2019,134629.787815895,110146.472887662,59.9,958456.266666667,986906.280096774,81.8143404030959,16.1516916811864,18.1181741266223,195.762711958924,507.956405720521
2020,35874.53711853,25017.509075736,15.65,373327,820901.307986452,69.73611671442,17.7839501870318,36.6348152588864,229.488668761703,631.240223612447
2021,7832.159077698,4601.257376236,5.31,248595,1070838,59,49.5511986015543,88.5578588035022,197,989
2022,52173,39960,29.11,582624,1105458.96,77,23,32.6529925129616,206,930
